№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание),Предложения по автоматизации шага процесса
85,Взыскатель, , ,Есть ли основание для обжалования?Эксклюзивный шлюз, ,"Должник определяет, есть ли основания для обжалованияДа: переход к шагу 86Нет: переход к шагу 87Согласно ч.3 ст. 245 АПК РФ Определение арбитражного суда по делу о признании решения иностранного суда или иностранного арбитражного решения и приведении его в исполнение может быть обжаловано в кассационном порядке в арбитражный суд округа в течение одного месяца со дня вынесения определения",""
86,Должник, , ,Переход к процессу кассационного обжалования,"",Переход к процессу кассационного обжалования,""
87,Должник,"","",Ожидать принудительного исполнения,"","Должник ожидает принудительного исполнения. Согласно чт. 246 АПК РФ Принудительное исполнение решения иностранного суда или иностранного арбитражного решения производится на основании исполнительного листа, выдаваемого арбитражным судом, вынесшим определение о признании и приведении в исполнение решения иностранного суда или иностранного арбитражного решения, в порядке, предусмотренном АПК и ст. 11 Федеральный закон от 02.10.2007 N 229-ФЗ ""Об исполнительном производстве""Решение иностранного суда или иностранное арбитражное решение может быть предъявлено к принудительному исполнению в срок, не превышающий трех лет со дня вступления его в законную силу. В случае пропуска указанного срока он может быть восстановлен арбитражным судом по ходатайству взыскателя по правилам, предусмотренным главой 10 АПК РФ",""
88,Должник,"","",Требуется ли заявить ходатайства связанные с исполнительным производством?Эксклюзивный шлюз,"","Должник определяют требуется ли заявить ходатайства связанные с исполнительным производством. Производство по делам, связанным с исполнением СА арбитражных судов регулируются положениями раздела 6 АПК РФ.Да: переход к шагу 90Нет: переход к шагу 89",""
89,Должник,"","",Контролировать принудительное исполнение,"",Завершение процесса,""
90,Должник,"","",ТБП7.Подать документы в суд,"",Переход к Типовому процессу «Подать документы в суд»В результате этого ТП Должник подает в суд ходатайства связанные с исполнительным производством,""
91,Должник,"","","Переход к процессу разрешение вопросов, связанных с исполнением судебного акта","","Переход к процессу разрешение вопросов, связанных с исполнением судебного акта",""
92,Канцелярия ,Документ по делу,—,Поступил документ по делу,—,Канцелярия фиксирует поступление документа ,Автоматическая регистрация
93,Канцелярия,"",Зарегистрированный документ,ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день","Канцелярия принимает входящий документ Переход к типовому процессу ""Принять входящий документ"". При поступлении заявления в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистрированный документ",Автоматизация приема
94,Канцелярия ,"","",ТБП12.Передать дело/документ судье,"",Канцелярия передает дело судьеПереход к типовому процессу «Передать дело/документ судье»Результатом данного ТП станет оформление и передача зарегистрированного судебного дела сотрудником канцелярии судье с внесением данных о деле в соответствующий реестр суда.,Автоматизация маршрутизации
95,Судья,"","",Заявление удовлетворено?Эксклюзивный шлюз,"","Судья определяет удовлетворено ли заявлениеДа: переход к шагу 99Нет: переход к шагу 96Основания отказа в признании и приведении в исполнение решения иностранного суда и иностранного арбитражного решения приведены в ст. 244. а также Арбитражный суд отказывает в признании и приведении в исполнение полностью или в части иностранного арбитражного решения по основаниям, предусмотренным законом о международном коммерческом арбитраже для отказа в выдаче исполнительного листа на принудительное исполнение решения международного коммерческого арбитража, если иное не предусмотрено международным договором Российской Федерации", 
96,Судья,"","",Ожидать 6 месяцев с даты вступления в законную силу СА,"",Судья Ожидать 6 месяцев с даты вступления в законную силу СА,""
97,Судья,Материалы дела,"Материалы дела, подготовленные к сдаче в архив",ТБП89.Передать дело в архив,"","Переход к Типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача судьей дела в архив после завершения рассмотрения",Возможна автоматизация передачи дела в архив
98,Судья,"","",Дело передано в архив,"",Завершение процесса,""
99,Судья,"","",ТБП91.Обратить СА к исполнению,"",Переход к типовому процессу «Обратить СА к исполнению» В результате этого ТП судья обращает определение к исполнению, 
100,Судья,"","",Ожидать 6 месяцев с даты вступления в законную силу СА,"",Ожидать 6 месяцев с даты вступления в законную силу СА,""
101,Судья,Материалы дела,"Материалы дела, подготовленные к сдаче в архив",ТБП89.Передать дело в архив,"","Переход к Типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача судьей дела в архив после завершения рассмотрения",Возможна автоматизация передачи дела в архив
102,Судья,"","",Дело передано в архив,"",Завершение процесса,""
