№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
88.,Иные ЛУВД (в т.ч. Ответчик),"","Документ-подтверждение исполнения требований, предусмотренных в постановлении ФССП о возбуждении исполнительного производства.",ТБП7.Подать документы в суд,"","Переход к типовому процессу «Подать документы в суд», в рамках которого ЛУВД подает доказательства исполненных в порядке добровольного исполнения требований. to be процесс Электронное заявление, предусматривающее автоматическую валидацию данных + заполнение необходимого в силу АПК."
89.,Иные ЛУВД (в.т.ч Ответчик),"","","СА исполнен ЛУВД, суд уведомлен","","СА исполнен ЛУВД, суд уведомлен"
90.,Иные ЛУВД (в т.ч. Ответчик),"","",Ожидать принудительного исполнения,"",Иные ЛУВД (в т.ч. Ответчик) ожидают принудительного исполнения
91.,Судья,"","",Необходимо приступить к исполнению СА?Эксклюзивный шлюз,"",Необходимо приступить к исполнению СА?Да: переход к шагу 100Нет: переход к шагу 92
92.,Судья,"","",Поступило заявление об изготовлении мотивированного определения?Эксклюзивный шлюз.,"","Суд выясняет, подавали ли стороны заявление о вынесении мотивированного определения по делу.Да: переход к шагу 93Нет: переход к шагу 99"
93. ,Судья,Заявление об изготовлении мотивированного определения,"",Судья на месте?Эксклюзивный шлюз.,"","Выясняется, на месте ли судья, который вынес резолютивную часть определения.Да: переход к шагу 96 Нет: переход к шагу 94 "
94.,Судья,Заявление об изготовлении мотивированного определения,"",Судья временно отсутствует?Эксклюзивный шлюз,"","Если судья, вынесший определение отсутствует, то выясняется, временно ли отсутствует судья (например, находится в отпуске)Да: переход к шагу 95 Нет: переход к шагу 97 "
95.,Судья,Заявление об изготовлении мотивированного определения,"",Ожидать судью.,"","Если судья, подписавший резолютивную часть определения, отсутствует в день поступления заявления о составлении мотивированного определения или апелляционной жалобы, вопрос о составлении мотивированного определения указанным судьей разрешается в пятидневный срок, начинающий исчисляться с момента возобновления исполнения указанным судьей своих обязанностей.Мотивированное определение будет изготовлено на шаге 105, после возвращения судьи к исполнению своих обязанностей."
96.,Судья,Заявление об изготовлении мотивированного определения,Мотивированное определение,ТБП80.Принять СА,5 дней с момента поступления заявления,Переход к Типовому процессу «Принять СА»Результатом указанного ТП будет являться изготовленное и подписанное судьей мотивированное определение по делу. To be процесс. Проверить процесс. Тут должно быть уведомление сторон и отправление им документа. Заявление о рассрочке рассматривается в СЗ.
97.,Судья,Заявление об изготовлении мотивированного определения,"",Известить об отсутствии судьи,"","Если судья отсутствует на постоянной основе (находится в отставке или умер), то стороне, направившей ходатайство об изготовлении мотивированного определения по делу, будет сообщено в письменной форме о невозможности изготовить мотивированное определение в связи с отсутствием судьи с указанием причин отсутствия."
98.,Судья,"","",Переход к шагу 101,"",Происходит переход на шаг 101
99.,Судья,"","",Эксклюзивный шлюз,"","Эксклюзивный шлюз, переход к шагу 101"
100.,Судья,"","",ТБП91.Обратить СА к исполнению,Подлежит немедленному исполнению.,"Переход к ТП «Обратить СА к исполнению»Определение подлежит немедленному исполнению.Определение, вынесенное по результатам рассмотрения заявления о взыскании/распределении судебных расходов, подлежит немедленному исполнению (часть 3 статьи 229 АПК РФ). Арбитражный суд выдает исполнительный лист взыскателю по его ходатайству независимо от подачи в суд заявления о составлении мотивированного определения или подачи апелляционной жалобы.Результатом указанного ТП будет исполнение определения о взыскании/распределении судебных расходов к исполнению (либо выдан ИЛ по заявлению стороны, либо ИЛ был направлен судом в ФССП самостоятельно)"
101,"","","",Эксклюзивный шлюз,"","Эксклюзивный шлюз, переход к шагу 131"
102,Заявитель/Истец,"","",Уведомить о получении мотивированного определения,"",Заявитель/Истец уведомляется о получении мотивированного определения
103,Заявитель/Истец,Мотивированное определение,"",Ознакомиться,"",Заявитель/Истец знакомится с мотивированным определением после ее получения
104,Заявитель/Истец,"","",Есть основание для обжалования?Эксклюзивный шлюз.,"","Заявитель/Истец может обжаловать решение суда (ст. 112 АПК РФ) в срок, не превышающий месяца с момента принятия определения.Да: переход к шагу 105Нет: переход к шагу 106"
105,Заявитель/Истец,"",Апелляционная жалоба,Переход к процессу апелляционного обжалования,"Жалоба подается в срок, не превышающий 15 дней с момента принятия определения",Переход к процессу апелляционного обжалования.
106,Заявитель/Истец,"","",Заявитель ознакомлен с определением,"",Заявитель ознакомлен с определением
107,Заявитель/Истец,"","Ходатайство/Заявление, связанное с исполнением(Заявление об изготовлении мотивированного определения/Заявление о выдаче исполнительного листа/Заявление о восстановлении пропущенного срока для предъявления исполнительного листа/Заявление о выдаче дубликата исполнительного листа/Заявление об отсрочке или рассрочке исполнения судебного акта/Заявление о разъяснении судебного акта/Заявление об изменении порядка и способа исполнения судебного акта/Ходатайство о приостановлении исполнительного производства/Заявление об отложении исполнительных действий/Ходатайство о возобновлении исполнительного производства/Ходатайство о прекращении исполнительного производства/Заявление о повороте исполнения судебного акта/Заявление об отсрочке или рассрочке взыскания исполнительского сбора/Заявление об уменьшении размера исполнительского сбора/Заявление об освобождении от взыскания исполнительского сбора)",Требуется ли заявить ходатайства/заявления связанные с исполнительным производством?Эксклюзивный шлюз,"","В некоторых случаях лицо вправе подать ходатайство, связанное с исполнительным производством. Например (в соответствии со ст. 327 АПК РФ):1) Заявление о приостановлении исполнения2) Заявление о возобновлении исполнения (подается в течение трех лет с момента устранения обстоятельств, послуживших основанием для его приостановления)3) Заявление о прекращении исполненияИ прочие.Такие заявления рассматриваются в  десятидневный срок со дня поступления такого заявления в суд.Да: переход к шагу 109Нет: переход к шагу 108"
108.,Заявитель/Истец,"","",Заявитель ознакомлен с резолютивной частью определения,"",Заявитель ознакомлен с резолютивной частью определения
109.,Заявитель/Истец,"","",ТБП7.Подать документы в суд,"","Переход к типовому процессу «Подать документы в суд», в рамках которого ЛУВД формирует ходатайство/заявление, связанное с исполнением, и направляет его в суд."
110.,Заявитель/Истец,"","","Переход к процессу разрешение вопросов, связанных с исполнением судебного акта","","Переход к процессу разрешения вопросов, связанных с исполнением судебного акта, в ходе которого суд принимает или не принимает ходатайство, связанное с исполнением, рассматривает его и выносит соответствующее решение. to be процесс Электронное заявление, предусматривающее автоматическую валидацию данных + заполнение необходимого в силу АПК"
111,Иные ЛУВД (в т.ч. Ответчик),"","",Уведомить о получении мотивированного определения,"",Иные ЛУВД (в т.ч. Ответчик) уведомляется о получении мотивированного определения
112,Иные ЛУВД (в т.ч. Ответчик),Мотивированное определение,"",Ознакомиться,"",Иные ЛУВД (в т.ч. Ответчик) знакомится с мотивированным определением после ее получения
113,Иные ЛУВД (в т.ч. Ответчик),"","",Есть основание для обжалования?Эксклюзивный шлюз.,"","Иные ЛУВД (в т.ч. Ответчик) может обжаловать решение суда (ст. 112 АПК РФ) в срок, не превышающий месяца с момента принятия определения.Да: переход к шагу 114Нет: переход к шагу 115"
114,Иные ЛУВД (в т.ч. Ответчик),"",Апелляционная жалоба,Переход к процессу апелляционного обжалования,"Жалоба подается в срок, не превышающий 15 дней с момента принятия определения",Переход к процессу апелляционного обжалования.
115,Иные ЛУВД (в т.ч. Ответчик),"","",ЛУВД ознакомлен с определением,"",ЛУВД ознакомлен с определением
116,Иные ЛУВД (в т.ч. Ответчик),"","Ходатайство/Заявление, связанное с исполнением(Заявление об изготовлении мотивированного определения/Заявление о выдаче исполнительного листа/Заявление о восстановлении пропущенного срока для предъявления исполнительного листа/Заявление о выдаче дубликата исполнительного листа/Заявление об отсрочке или рассрочке исполнения судебного акта/Заявление о разъяснении судебного акта/Заявление об изменении порядка и способа исполнения судебного акта/Ходатайство о приостановлении исполнительного производства/Заявление об отложении исполнительных действий/Ходатайство о возобновлении исполнительного производства/Ходатайство о прекращении исполнительного производства/Заявление о повороте исполнения судебного акта/Заявление об отсрочке или рассрочке взыскания исполнительского сбора/Заявление об уменьшении размера исполнительского сбора/Заявление об освобождении от взыскания исполнительского сбора)",Требуется ли заявить ходатайства/заявления связанные с исполнительным производством?Эксклюзивный шлюз,"","В некоторых случаях лицо вправе подать ходатайство, связанное с исполнительным производством. Например (в соответствии со ст. 327 АПК РФ):1) Заявление о приостановлении исполнения2) Заявление о возобновлении исполнения (подается в течение трех лет с момента устранения обстоятельств, послуживших основанием для его приостановления)3) Заявление о прекращении исполненияИ прочие.Такие заявления рассматриваются в  десятидневный срок со дня поступления такого заявления в суд.Да: переход к шагу 118Нет: переход к шагу 117"
117.,Иные ЛУВД (в т.ч. Ответчик),"","","ЛУВД ознакомлен с резолютивной частью определения, ожидается принудительное исполнение","","ЛУВД ознакомлен с резолютивной частью определения, ожидается принудительное исполнение"
118.,Иные ЛУВД (в т.ч. Ответчик),"","",ТБП7.Подать документы в суд,"","Переход к типовому процессу «Подать документы в суд», в рамках которого Заявитель/Истец формирует ходатайство/заявление, связанное с исполнением, и направляет его в суд."
119.,Иные ЛУВД (в т.ч. Ответчик),"","","Переход к процессу разрешение вопросов, связанных с исполнением судебного акта","","Переход к процессу разрешения вопросов, связанных с исполнением судебного акта, в ходе которого суд принимает или не принимает ходатайство, связанное с исполнением, рассматривает его и выносит соответствующее решение. to be процесс Электронное заявление, предусматривающее автоматическую валидацию данных + заполнение необходимого в силу АПК"
120.,Канцелярия,Заявление об изготовлении мотивированного определения/Заявление о выдаче исполнительного листа/Заявление о восстановлении пропущенного срока для предъявления исполнительного листа/Заявление о выдаче дубликата исполнительного листа/Заявление об отсрочке или рассрочке исполнения судебного акта/Заявление о разъяснении судебного акта/Заявление об изменении порядка и способа исполнения судебного акта/Ходатайство о приостановлении исполнительного производства/Заявление об отложении исполнительных действий/Ходатайство о возобновлении исполнительного производства/Ходатайство о прекращении исполнительного производства/Заявление о повороте исполнения судебного акта/Заявление об отсрочке или рассрочке взыскания исполнительского сбора/Заявление об уменьшении размера исполнительского сбора/Заявление об освобождении от взыскания исполнительского сбора,"",Поступил документ по делу,"",В канцелярию суда поступает направленный ЛУВД документ.
121.,Канцелярия,Заявление об изготовлении мотивированного определения/Заявление о выдаче исполнительного листа/Заявление о восстановлении пропущенного срока для предъявления исполнительного листа/Заявление о выдаче дубликата исполнительного листа/Заявление об отсрочке или рассрочке исполнения судебного акта/Заявление о разъяснении судебного акта/Заявление об изменении порядка и способа исполнения судебного акта/Ходатайство о приостановлении исполнительного производства/Заявление об отложении исполнительных действий/Ходатайство о возобновлении исполнительного производства/Ходатайство о прекращении исполнительного производства/Заявление о повороте исполнения судебного акта/Заявление об отсрочке или рассрочке взыскания исполнительского сбора/Заявление об уменьшении размера исполнительского сбора/Заявление об освобождении от взыскания исполнительского сбора,Зарегистрированный документ (Заявление об изготовлении мотивированного определения/Заявление о выдаче исполнительного листа/Заявление о восстановлении пропущенного срока для предъявления исполнительного листа/Заявление о выдаче дубликата исполнительного листа/Заявление об отсрочке или рассрочке исполнения судебного акта/Заявление о разъяснении судебного акта/Заявление об изменении порядка и способа исполнения судебного акта/Ходатайство о приостановлении исполнительного производства/Заявление об отложении исполнительных действий/Ходатайство о возобновлении исполнительного производства/Ходатайство о прекращении исполнительного производства/Заявление о повороте исполнения судебного акта/Заявление об отсрочке или рассрочке взыскания исполнительского сбора/Заявление об уменьшении размера исполнительского сбора/Заявление об освобождении от взыскания исполнительского сбора),ТБП53.Принять входящий документ,"","Переход к типовому процессу «Принять входящий документ», в рамках которого канцелярия выполняет все необходимые действия для регистрации документа в системе."
122.,Заявитель/Истец,"","",Возникла необходимость в исправлении описок/опечаток.,"","В случае, если лицо нашло в решении суда опечатку/ошибку, лицо вправе подать соответствующее заявление в суд, вынесший данное решение, с указанием ошибки/опечатки. Такое заявление впоследствии должно быть рассмотрено судом в течение 10-ти дней без проведения СЗ. При этом содержание СА, по существу, остается неизменным. По результатам рассмотрения заявления выносится определение, которое может быть обжаловано (ст. 179 АПК РФ)"
123.,Заявитель/Истец,"",Заявление об исправлении описок/опечаток,ТБП7.Подать документы в суд,"","Переход к типовому процессу «Подать документы в суд», в рамках которого заявитель/истец формирует заявление об исправлении описок/опечаток и направляет его в суд."
124.,Заявитель/Истец,"","",Завершающее событие.,"",Завершение процесса.
125.,Иные ЛУВД (в т.ч. Ответчик),"",Основания для исправления описок/опечаток,Возникла необходимость в исправлении описок/опечаток.Стартовый процесс,"","В случае, если лицо нашло в решении суда опечатку/ошибку, лицо вправе подать соответствующее заявление в суд, вынесший данное решение, с указанием ошибки/опечатки. Такое заявление впоследствии должно быть рассмотрено судом в течение 10-ти дней без проведения СЗ. При этом содержание СА  по существу, остается неизменным. По результатам рассмотрения заявления выносится определение, которое может быть обжаловано (ст. 179 АПК РФ)"
126.,Иные ЛУВД (в т.ч. Ответчик),Основания для исправления описок/опечаток,Заявление об исправлении описок/опечаток,ТБП7.Подать документы в суд,"","Переход к типовому процессу «Подать документы в суд», в рамках которого ЛУВД формирует заявление об исправлении описок/опечаток и направляет его в суд."
127.,Иные ЛУВД (в т.ч. Ответчик),"","",Завершающее событие.,"",Завершение процесса для пула Иные ЛУВД (в т.ч. Ответчик).
128.,Судья,Заявление об исправлении описок/опечаток,"",Поступило заявление об исправлении описок/опечатокСтартовое событие-триггер,"",Судье поступило заявление об исправлении описок/опечаток.
129.,Судья,Заявление об исправлении описок/опечаток,Определение об исправлении описок/опечаток. (Или Определение об отказе в удовлетворении заявления об исправлении описок/опечаток),ТБП52.Рассмотреть вопрос об исправлении ошибок,10 дней с момента поступления заявления на рассмотрение.Определение может быть обжаловано в течение месяца со дня вынесения.,Переход к типовому процессу «Рассмотреть вопрос об исправлении ошибок».Результатом данного ТП будет вынесенный судом СА по вопросу исправления описок/опечаток в Определении.
130.,Судья,"","",Заявление об исправлении описок/опечаток рассмотрено,"",Заявление об исправлении описок/опечаток рассмотрено
131.,Судья,Материалы основного дела с приобщёнными документами о рассмотрении заявления о взыскании/ распределении судебных расходов,"Материалы основного дела с приобщёнными документами о рассмотрении заявления о взыскании/ распределении судебных расходов, подготовленное к сдаче в архив.",6 месяцев с даты вступления в силу СА,6 месяцев с даты вступления в силу СА,"Суд будет ожидать 6 месяцев с момента вступления в законную силу СА перед тем, как перейти к шагу 135. Это срок, установленный Инструкцией по делопроизводству, после которого делопроизводство считается завершенным и дело можно передать в архив."
132.,Судья,Материалы основного дела с приобщёнными документами о рассмотрении заявления о взыскании/ распределении судебных расходов подготовленное к сдаче в архив.,"Материалы дела, переданные в архив.",ТБП89.Передать дело в архив,"","Когда истечет срок, установленный в шаге 134 , делопроизводство по делу в соответствии с положениями Постановления Пленума ВАС РФ от 25.12.2013 N 100 ""Об утверждении Инструкции по делопроизводству в арбитражных судах Российской Федерации (первой, апелляционной и кассационной инстанций)"" будет считаться оконченным и такое дело может быть передано в архив.Переход к Типовому процессу «Передать дело в архив»Результат данного ТП -передача дела в архив на хранения и последующее уничтожения после истечения срока хранения.Сроки хранения будут завесить от основного дела, к которому были приобщены материалы по рассмотрению заявления о взыскании/распределении судебных расходов. To be процесс. Система переносит дело в архивную стадию."
133.,Судья,"",""," Дело рассмотрено, СА обращен к исполнению",""," Дело рассмотрено, СА обращен к исполнению"
