№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
22,Заявитель ,—,Ходатайство о рассмотрении дела в отсутствие представителя/в свое отсутствие.,ТБП7.Подать документы в суд,"Срок не установлен, но должно быть подано до проведения СЗ.","Переход к типовому процессу «Подать документы в суд», в рамках которого Заявитель формирует и направляет Ходатайство о рассмотрении дела в свое отсутствие/отсутствие представителя для предупреждения об отсутствии в силу уважительных причин. Подача документов в электронном виде через форму подачи документов в суд."
23,Заявитель ,—,—,Завершение процесса,—,Завершение процесса
24,"Лица, которые могут инициировать или инициировали разбирательство в иностранном суде",—,"",Возникла необходимость в рассмотрении дела в своё отсутствие,—,"Если лицо не может присутствовать на судебном заседании по делу, оно имеет возможность заранее уведомить суд, отправив соответствующее ходатайство. Это поможет избежать наложения штрафных санкций (ст. 156 АПК РФ)."
25,"Лица, которые могут инициировать или инициировали разбирательство в иностранном суде",—,Ходатайство о рассмотрении дела в отсутствие представителя/в свое отсутствие.,ТБП7.Подать документы в суд,"Срок не установлен, но должно быть подано до проведения СЗ.","Переход к типовому процессу «Подать документы в суд», в рамках которого Лица, которые могут инициировать или инициировали разбирательство в иностранном суде формирует и направляет Ходатайство о рассмотрении дела в свое отсутствие/отсутствие представителя для предупреждения об отсутствии в силу уважительных причин. Подача документов в электронном виде через форму подачи документов в суд."
26,"Лица, которые могут инициировать или инициировали разбирательство в иностранном суде",—,—,Завершение процесса,—,Завершение процесса
27,Канцелярия,Ходатайство о рассмотрении дела в отсутствие представителя/в свое отсутствие,Зарегистрированный документ,Поступил документ по делу,—,Канцелярия принимает и регистрирует поступивший документ
28,Канцелярия,Зарегистрированный документ (Ходатайство о рассмотрении дела в отсутствие представителя/в свое отсутствие),Дело/документ для передачи судье,ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день","Переход к типовому процессу «Принять входящий документ».При поступлении заявления в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистрированный документ.Автоматические проверки, автоматическое отклонение по техническим основаниям, автоматическая регистрация, задача на валидацию, валидация регистрации сотрудником ОД,формирование связи карточки документа с карточкой дела, задача на судью."
29,Канцелярия ,"","",Входящий документ зарегистрирован,"",Завершение процесса
30,Помощник судьи,"","",ТБП66.Подготовиться к СЗ,"","Переход к Типовому процессу «Подготовиться к СЗ».В ходе подготовки к СЗ помощник судьи будет проверять: извещены ли стороны о судебном заседании, будут собирать поступающие отзывы/возражения по делу, будет проведен предварительный анализ поступивших документов, ответов на запросы (если они были направлены), будет проверять был ли предоставлен доступ к ознакомлению с делу электронно всем сторонам и другие вопросы, подлежащие выяснению в рамках подготовки к проведению судебного заседания. Согласно ч.6 ст.248.2 Неявка указанных лиц, извещенных надлежащим образом о времени и месте судебного заседания, не является препятствием для рассмотрения заявления, предусмотренного частью 1 ст.248.2"
31,Судья,"","Определение об отложении судебного разбирательства, протокол",ТБП68.Провести СЗ,1 месяц со дня поступления заявления,"Переход к типовому процессу ""Провести СЗ"". В результате данного ТП Судья проводит СЗ для рассмотрения заявления.  О времени и месте судебного заседания арбитражный суд извещает лиц, участвующих в деле, и других участников арбитражного процесса. По результатам рассмотрения заявления, предусмотренного ч. 1 ст.248.2, арбитражный суд выносит определение по правилам, установленным главой 20 АПК РФ для вынесения решенийОтложение судебного разбирательства проводится в соответствии с положениями ст. 158 АПК.Судебное разбирательство в новом судебном заседании возобновляется с того момента, с которого оно было отложено. Повторное рассмотрение доказательств, исследованных до отложения судебного разбирательства, не производится.аудио протоколирование, транскрибация, формирование проекта протокола СЗ, онлайн график СЗ, автоматическая проверка явки, подбор времени и места проведения СЗ при перерыве и отложении, формирование проекта СА об отложении СЗ"
32,Судья,—,—,Возникла необходимость в замене судьи,—,Судья принимает решение о необходимости замены
33,Судья,—,Определение о замене судьи,ТБП28.Заменить судью,—,"Судья принимает решение о замене судьи. Согласно ст 18 АПК в случае замены судьи, арбитражного заседателя в процессе рассмотрения дела судебное разбирательство должно быть произведено с самого начала. "
34,Судья,—,—,Замена судьи совершена.,—,Процесс замены судьи завершен
35,Заявитель ,—,Заявление об отводе судьи,Возникла необходимость в отводе судьи,—,Заявитель принимает решение о подаче заявления об отводе судьи
36,Заявитель , ,Заявление об отводе судьи,ТБП7.Подать документы в суд,до начала рассмотрения дела по существу,"Переход к типовому процессу «Подать документы в суд», в рамках которого Заявитель формирует и направляет заявление об отводе судьи. Отвод и самоотвод судьи регулируется правилами главы 3 АПК. Самоотвод или отвод должен быть мотивирован и заявлен до начала рассмотрения дела по существу. В ходе рассмотрения дела заявление о самоотводе или об отводе допускается только в случае, если основание самоотвода или отвода стало известно лицу, заявляющему самоотвод или отвод, после начала рассмотрения дела по существу. Подача документов в электронном виде через форму подачи документов в судСнижение количества заявлений об отводе за счет проверок на конфликты интересов."
37,Заявитель ,—,—,Завершение подачи заявления,—,Процесс подачи заявления завершен
38,"Лица, которые могут инициировать или инициировали разбирательство в иностранном суде",—,Заявление об отводе судьи,Возникла необходимость в отводе судьи,—,"Лица, которые могут инициировать или инициировали разбирательство в иностранном суде принимает решение о подаче заявления об отводе судьи"
39,"Лица, которые могут инициировать или инициировали разбирательство в иностранном суде", ,Заявление об отводе судьи,ТБП7.Подать документы в суд,до начала рассмотрения дела по существу,"Переход к типовому процессу «Подать документы в суд», в рамках которого Лица, которые могут инициировать или инициировали разбирательство в иностранном суде формирует и направляет заявление об отводе судьи. Отвод и самоотвод судьи регулируется правилами главы 3 АПК. Самоотвод или отвод должен быть мотивирован и заявлен до начала рассмотрения дела по существу. В ходе рассмотрения дела заявление о самоотводе или об отводе допускается только в случае, если основание самоотвода или отвода стало известно лицу, заявляющему самоотвод или отвод, после начала рассмотрения дела по существу.Подача документов в электронном виде через форму подачи документов в судСнижение количества заявлений об отводе за счет проверок на конфликты интересов."
40,"Лица, которые могут инициировать или инициировали разбирательство в иностранном суде",—,—,Завершение подачи заявления,—,Процесс подачи заявления завершен
41,Судья,—,—,Возникла необходимость в отводе/самоотводе судьи,—,Судья принимает решение о самоотводе. Основания для отвода/самоотвода судьи регулируются ст. 21 АПК.
42,Судья,—,Определение об отводе/самоотводе,ТБП27.Отвод/самоотвод судьи,—,"Судья рассматривает вопрос об отводе или принимает самоотвод . Согласно ст. 24-26 АПК по итогам заявления отвода/самоотвода в случае единоличного рассмотрения, вопрос решается тем же судьей, в случае коллегиального-большинством голосов при удалении судьи, в отношении которого заявлен отвода/самоотвода. В результате отвода/самоотвода судья в заседании заменяется. Снижение количества заявлений об отводе за счет проверок на конфликты интересов."
43,Судья,—,—,Отвод/самоотвод совершен,—,Процесс отвода судьи завершен
44,Судья,"","",Переход из ТП Переход к новому рассмотрению в зависимости от процесса,"",Переход из ТП Переход к новому рассмотрению в зависимости от процесса
45,Судья,"","",Создать новое рассмотрение,"","Переход к типовому процессу ""Создать новое рассмотрение"". В результате данного ТП судья создает "
46,Судья,"","",Эксклюзивный шлюз,"","Эксклюзивный шлюз, переход к шагу 47"
47,Судья,"","",ТБП142.Сформировать правовую позицию по делу,"","Переход к типовому шагу ""Сформировать правовую позицию по делу"". В результате данного ТП судья формирует правовую позицию по делу. Система проводить автоматические проверки, анализирует материалы дела и судебную практику, формирует отчет для судьи.Внутри данного процесса ТП ""Оценить доказательства по делу"", задача на судью по оценки недружественности страны иностранного суда."
48,Судья,"","",ТБП140.Рассмотреть по существу,"","Переход к шагу ""Рассмотреть по существу"". В результате данного ТП судья рассматривает заявление по существу."
49,Судья,"","",Заявление удовлетворено?Эксклюзивный шлюз,"","Судья определяет требуется ли удовлетворить Заявление о запрете инициировать или продолжать разбирательство в иностранном суде, международном коммерческом арбитражеДа: переход к шагу 50Нет: переход к шагу 51"
