№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
113,"Заявитель (административный орган, прокурор)","","",Возникла необходимость  ходатайствовать о рассмотрении дела в порядке упрощенного производства,"","У Заявителя (административный орган, прокурор) возникла необходимость  ходатайствовать о рассмотрении дела в порядке упрощенного производства. Дело может рассматриваться в порядке упрощенного производства если оно соответствует положениям ст. 227 АПК РФ"
114,"Заявитель (административный орган, прокурор)","",Ходатайство о рассмотрении дела в порядке упрощенного производства,ТБП7.Подать документы в суд,"","Переход к типовому процессу ""Подать документы в суд"". В результате данного ТП Заявитель (административный орган, прокурор) Ходатайство о рассмотрении дела в порядке упрощенного производстваПодача документов в электронном виде через форму подачи документов в суд"
115,"Заявитель (административный орган, прокурор)","","",Завершение процесса,"",Завершение процесса
116,Судья,"","",ТБП142.Сформировать правовую позицию по делу,"","Переход к типовому процессу ""Сформировать правовую позицию по делу"". В результате данного ТП Система проводит автоматические проверки, анализирует материалы дела и судебную практику, формирует отчет для судьи.Внутри данного процесса ТП ""Оценить доказательства по делу""Судья формирует правовую позицию по делу (будет ли рассматривать дело по существу, прекратит, передаст по подсудности)"
117,Судья,"","",Чем завершается рассмотрение?Эксклюзивный шлюз,"","Определяется чем завершается рассмотрение. Переход к шагам 118-120,124,127"
118,Судья,—,Определение о передаче по подсудности,ТБП65.Передать дело по подсудности,—,Судья принимает решение о передаче дела по подсудности
119,Судья,"",Определение об оставлении искового заявления без рассмотрения,ТБП110.Рассмотреть вопрос об оставлении без рассмотрения,—,"Переход к типовому процессу ""Рассмотреть вопрос об оставлении без рассмотрения"" В результате этого ТП Судья принимает решение об оставлении заявления без рассмотренияОставление искового заявления без рассмотрения проводится согласно ст. 148-149 АПК.В случае оставления искового заявления без рассмотрения производство по делу заканчивается вынесением определения.В определении арбитражный суд указывает основания для оставления искового заявления без рассмотрения, а также решает вопрос о возврате государственной пошлины из федерального бюджета в случае, предусмотренном частью 2 статьи 148 АПК.Оставление искового заявления без рассмотрения не лишает истца права вновь обратиться в арбитражный суд с заявлением в общем порядке после устранения обстоятельств, послуживших основанием для оставления заявления без рассмотрения.  "
120,Судья,"","",ТБП109.Рассмотреть вопрос о прекращении производства по делу,—,"Переход к типовому процессу ""Рассмотреть вопрос о прекращении производства по делу"" В результате этого ТП Судья принимает решение о прекращении производстваПрекращение производства проводится согласно ст. 150 АПК. О прекращении производства по делу арбитражный суд выносит определение.В определении арбитражный суд указывает основания для прекращения производства по делу, а также разрешает вопросы о возврате государственной пошлины из федерального бюджета в случае, предусмотренном частью 1 статьи 150 АПК, и распределении между сторонами судебных расходов.В случае прекращения производства по делу повторное обращение в арбитражный суд по спору между теми же лицами, о том же предмете и по тем же основаниям не допускается, за исключением прекращения производства по делу о защите прав и законных интересов группы лиц в порядке, установленном частью 7 статьи 225.15 настоящего Кодекса."
121,Судья,"","",Эксклюзивный шлюз,"",Эксклюзивный шлюз
122,Судья,Материалы дела,"Материалы дела, подготовленные к сдаче в архив",ТБП89.Передать дело в архив,"","Переход к Типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача судьей дела в архив после завершения рассмотрения. Архивировать электронное дело"
123,Судья,—,—,Завершение процесса,—,Завершение процесса
124,Система,"","",Изменить порядок рассмотрения,"",Изменить порядок рассмотрения
125,Судья,—,Определение о переходе к рассмотрению дела в порядке упрощенного производства,ТБП80.Принять СА,3 месяца с даты поступления заявления,"Переход к типовому процессу ""Принять СА"". В результате этого ТП Судья принимает судебный акт Определение о переходе к рассмотрению дела в порядке упрощенного производстваФормирование проекта СА, электронное извещение ЛУВД"
126,Судья,—,—,Переход в упрощенный порядок рассмотрения,—,Дело передается в процесс упрощенного производства
127,Судья ,"","",Может быть назначено наказание в виде  приостановления деятельности и был применен временный запрет деятельности?Эксклюзивный шлюз,"",Эксклюзивный шлюзДа: переход к шагу 128Нет: переход к шагу 129
128,Судья ,"","",ТБП93.Рассмотреть вопрос о привлечении к адм. ответственности,7 суток  с момента фактического прекращения деятельности,Переход к ТП Рассмотреть вопрос о привлечении к адм.отв.
129,Судья,"","",ТБП93.Рассмотреть вопрос о привлечении к адм. ответственности,2 месяца со дня поступления заявления,Переход к ТП Рассмотреть вопрос о привлечении к адм.отв.
130,Судья,"","",Эксклюзивный шлюз,"",Эксклюзивный шлюз
131,Судья ,"","",ТБП80.Принять СА,"","Переход к типовому процессу ""Принять СА"". В результате этого ТП Судья принимает судебный акт"
132,Иные ЛУВД (в т.ч.Потерпевший),"",—,Получено уведомление о решении,—,Иные ЛУВД (в т.ч.Потерпевший) получает уведомление о решении
133,Иные ЛУВД (в т.ч.Потерпевший),—,—,Ознакомиться,—,Иные ЛУВД (в т.ч.Потерпевший) знакомится с определением о признании сделки недействительной
134,Иные ЛУВД (в т.ч.Потерпевший),—,—,Есть основание для обжалования?Эксклюзивный шлюз,—,"Иные ЛУВД (в т.ч.Потерпевший) определяет, есть ли основания для обжалованияЭксклюзивный шлюзДа: переход к шагу 135Нет: переход к шагу 136"
135,Иные ЛУВД (в т.ч.Потерпевший),—,—,Переход к процессу апелляционного обжалования,—,Переход к процессу апелляционного обжалования
136,Иные ЛУВД (в т.ч.Потерпевший),"","","Лицо ознакомлено с СА, оснаваний для обжалования нет.","",Завершение процесса
137,"Лицо, в отношении которого составлен протокол","",—,Получено уведомление о решении,—,"Лицо, в отношении которого составлен протокол получает уведомление о решении"
138,"Лицо, в отношении которого составлен протокол",—,—,Ознакомиться,—,"Лицо, в отношении которого составлен протокол знакомится с определением о признании сделки недействительной"
139,"Лицо, в отношении которого составлен протокол",—,—,Есть основание для обжалования?Эксклюзивный шлюз,—," Лицо, в отношении которого составлен протокол, есть ли основания для обжалованияЭксклюзивный шлюзДа: переход к шагу 140Нет: переход к шагу 148"
140,"Лицо, в отношении которого составлен протокол",—,—,Переход к процессу апелляционного обжалования,—,Переход к процессу апелляционного обжалования
141,"Заявитель (административный орган, прокурор)","","",Получено уведомление о решении,—,"Заявитель (административный орган, прокурор) получает уведомление о решении"
142,"Заявитель (административный орган, прокурор)",—,—,Ознакомиться,—,"Заявитель (административный орган, прокурор) знакомится с определением о признании сделки недействительной"
143,"Заявитель (административный орган, прокурор)",—,"",Есть основание для обжалования?Эксклюзивный шлюз,—,"Заявитель (административный орган, прокурор) определяет, есть ли основания для обжалованияЭксклюзивный шлюзДа: переход к шагу 144Нет: переход к шагу 145"
144,"Заявитель (административный орган, прокурор)",—,—,Переход к процессу апелляционного обжалования,—,Переход к процессу апелляционного обжалования
145,"Заявитель (административный орган, прокурор)","","","Лицо ознакомлено с СА, оснаваний для обжалования нет.","",Завершение процесса
146,Судья,"","",Лицо привлечено к административной ответственности?Эксклюзивный шлюз,"",Эксклюзивный шлюзДа: переход к шагу 147Нет: переход к шагу 163
147,Судья ,"","",Ожидать вступления в законную силу 10 дней со дня принятия,"",Ожидать вступления в законную силу 10 дней со дня принятия
148,"Лицо, в отношении которого составлен протокол","","",Требуется  исполнить добровольно?,"",Эксклюзивный шлюзДа: переход к шагу 150Нет: переход к шагу 149
149,"Лицо, в отношении которого составлен протокол","","",Завершение процесса,"",Завершение процесса
150,"Лицо, в отношении которого составлен протокол","",Квитанция или иное доказательство исполнения,Исполнить СА,"","Лицо, в отношении которого составлен протокол исполняет СА в системе "
151,Система,Квитанция или иное доказательство исполнения,"",Уведомить суд об исполнении,"",Система уведомляет суд об исполнении СА 
152,"Лицо, в отношении которого составлен протокол","","",Завершение процесса,"",Завершение процесса
153,"Лицо, в отношении которого составлен протокол","","",Получено уведомление о начале исполнительного производства,"",Получено уведомление о начале исполнительного производства
154,"Лицо, в отношении которого составлен протокол",—,—,Ознакомиться,—,"Лицо, в отношении которого составлен протокол знакомится с решением суда"
155,"Лицо, в отношении которого составлен протокол","","",Требуется ли заявить ходатайства связанные с исполнительным производством?Эксклюзивный шлюз,"",Эксклюзивный шлюзДа: переход к шагу 157Нет: переход к шагу 156
156,"Лицо, в отношении которого составлен протокол","","",Ожидает завершения исполнительного производстваЗавершение процесса,"",Ожидает завершения исполнительного производстваЗавершение процесса
157,"Лицо, в отношении которого составлен протокол","",Ходатайства связанные с исполнительным производством,ТБП7.Подать документы в суд,—,"Переход к типовому процессу «Подать документы в суд», в рамках которого Лицо, в отношении которого составлен протокол формирует ходатайства связанные с исполнительным производствомПодача документов в электронном виде через форму подачи документов в суд"
158,"Лицо, в отношении которого составлен протокол","","","Переход к процессу разрешение вопросов, связанных с исполнением судебного акта","","Переход к процессу разрешение вопросов, связанных с исполнением судебного акта"
159,Отдел делопроизводства,Ходатайства связанные с исполнительным производством,—,Поступили документы по делу,—,Канцелярия получает заявление
160,Отдел делопроизводства,Ходатайства связанные с исполнительным производством,Зарегистрированный документ,ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день","Переход к типовому процессу ""Принять входящий документ"". Автоматические проверки, автоматическое отклонение по техническим основаниям, автоматическая регистрация, задача на валидацию, валидация регистрации сотрудником ОД, автоматическое распределение на судью, задача на судью"
161,Судья,"","",Эксклюзивный шлюз,"",Эксклюзивный шлюз
162,Судья,—,—,ТБП91.Обратить СА к исполнению,—,"Переход к типовому процессу ""Обратить СА к исполнению"". Судья обращает судебный акт к исполнению60 дней для добровольного исполнения штрафа и прочие сроки исполнения будут входить в ТП"
163,Судья,"","",Эксклюзивный шлюз,"",Эксклюзивный шлюз
164,Судья,—,—,Ожидать 6 месяцев  с даты окончания срока на обжалование последнего судебного акта,6 месяцев с даты окончания срока на обжалование,Судья ожидает истечения срока для обжалования последнего судебного акта
165,Иные ЛУВД (в т.ч.Потерпевший),"",Основания для исправления опечаток/описок,Возникла необходимость в исправлении описок/опечаток,—,"В случае, если лицо нашло в решении суда опечатку/ошибку, лицо вправе подать соответствующее заявление в суд, вынесший данное решение, с указанием ошибки/опечатки. Такое заявление впоследствии должно быть рассмотрено судом в течение 10-ти дней без проведения СЗ. При этом содержание СА  по существу, остается неизменным. По результатам рассмотрения заявления выносится определение, которое может быть обжаловано (ст. 179 АПК РФ)"
166,Иные ЛУВД (в т.ч.Потерпевший),Основания для исправления опечаток/описок,Заявление об исправлении описок/опечаток,ТБП7.Подать документы в суд,—,"Переход к типовому процессу «Подать документы в суд», в рамках которого Иные ЛУВД (в т.ч.Потерпевший) формирует заявление об исправлении описок/опечаток и направляет его в судПодача документов в электронном виде через форму подачи документов в судСнижение определение описок/опечаток за счет автоматизации в процессе подготовке СА"
167,Иные ЛУВД (в т.ч.Потерпевший),—,—,Завершение процесса,—,Процесс подачи заявления завершен
168,"Лицо, в отношении которого составлен протокол","",Основания для исправления опечаток/описок,Возникла необходимость в исправлении описок/опечаток,—,"В случае, если лицо нашло в решении суда опечатку/ошибку, лицо вправе подать соответствующее заявление в суд, вынесший данное решение, с указанием ошибки/опечатки. Такое заявление впоследствии должно быть рассмотрено судом в течение 10-ти дней без проведения СЗ. При этом содержание СА  по существу, остается неизменным. По результатам рассмотрения заявления выносится определение, которое может быть обжаловано (ст. 179 АПК РФ)"
169,"Лицо, в отношении которого составлен протокол",Основания для исправления опечаток/описок,Заявление об исправлении описок/опечаток,ТБП7.Подать документы в суд,—,"Переход к типовому процессу «Подать документы в суд», в рамках которого Лицо, в отношении которого составлен протокол формирует заявление об исправлении описок/опечаток и направляет его в судПодача документов в электронном виде через форму подачи документов в судСнижение определение описок/опечаток за счет автоматизации в процессе подготовке СА"
170,"Лицо, в отношении которого составлен протокол",—,—,Завершение процесса,—,Процесс подачи заявления завершен
171,"Заявитель (административный орган, прокурор)","",Основания для исправления опечаток/описок,Возникла необходимость в исправлении описок/опечаток,—,"В случае, если лицо нашло в решении суда опечатку/ошибку, лицо вправе подать соответствующее заявление в суд, вынесший данное решение, с указанием ошибки/опечатки. Такое заявление впоследствии должно быть рассмотрено судом в течение 10-ти дней без проведения СЗ. При этом содержание СА  по существу, остается неизменным. По результатам рассмотрения заявления выносится определение, которое может быть обжаловано (ст. 179 АПК РФ)"
172,"Заявитель (административный орган, прокурор)",Основания для исправления опечаток/описок,Заявление об исправлении описок/опечаток,ТБП7.Подать документы в суд,—,"Переход к типовому процессу «Подать документы в суд», в рамках которого Заявитель (административный орган, прокурор) формирует заявление об исправлении описок/опечаток и направляет его в судПодача документов в электронном виде через форму подачи документов в судСнижение определение описок/опечаток за счет автоматизации в процессе подготовке СА"
173,"Заявитель (административный орган, прокурор)",—,—,Завершение процесса,—,Процесс подачи заявления завершен
174,Судья,Заявление об исправлении описок/опечаток,—,Поступило заявление об исправлении описок/опечаток,—,Судья получает заявление об исправлении описок
175,Судья,—,Определение об исправлении,ТБП52.Рассмотреть вопрос об исправлении ошибок,10 дней с момента поступления заявления,"Переход к типовому процессу ""Рассмотреть вопрос о разъяснении СА"" В результате данного ТП Судья рассматривает вопрос об исправлении описок/опечаток судебного акта без проведения судебного заседания и без извещения лиц, участвующих в деле и иных лиц. При этом содержание СА по существу, остается неизменным. По результатам рассмотрения заявления выносится определение, которое может быть обжаловано (ст. 179 АПК РФ)"
176,Судья,—,—,Вопрос об исправлении ошибок рассмотрен судом,—,Процесс рассмотрения заявления завершен
177,Судья,Материалы дела,"Материалы дела, подготовленные к сдаче в архив",ТБП89.Передать дело в архив,"","Переход к Типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача судьей дела в архив после завершения рассмотрения. Архивировать электронное дело"
178,Судья,—,—,Производство завершено дело передано в архив,—,Завершение процесса
